Document_name,Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body
swisspar_rinvoq_final.pdf,67257,Not reported,Rinvoq,"upadacitinib, upadacitinib hemihydrate",AbbVie AG,Small molecule,prolonged-release tablet,oral,approved,authorised,20.01.2020,2020,no,no,RINVOQ is indicated for the treatment of adults with moderately to severely active rheumatoid arthritis.,"RINVOQ is indicated for the treatment of adults with moderately to severely active rheumatoid arthritis, who had an inadequate response or are intolerant to a treatment with one or more conventional synthetic disease-modifying anti-rheumatic drugs (csDMARD).",Diseases of the musculoskeletal system and connective tissue,11.01.2019,2019,no,NA
swisspar_rybelsus_final.pdf,67446,Not reported,Rybelsus,semaglutide,Novo Nordisk Pharma AG,Peptides and proteins,tablet,oral,approved,authorised,24.03.2020,2020,no,no,Rybelsus is indicated for the treatment of adults with insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise. Rybelsus is indicated to reduce the risk of serious undesirable cardiovascular events in adult patients with type 2 diabetes mellitus and established cardiovascular risk and/or chronic renal disease.,Rybelsus is used in addition to diet and exercise to treat adults with inadequately controlled type 2 diabetes mellitus: as monotherapy in case of contraindication or intolerance of metformin; in combination with other blood glucose-lowering medicines.,"Endocrine, nutritional, and metabolic diseases; Diseases of the circulatory system",15.05.2019,2019,no,NA
swisspar_imjudo_na_nas.pdf,68706,Not reported,Imjudo,tremelimumab,AstraZeneca AG,Biologics,concentrate for solution for infusion,intravenous,approved,authorised,13.09.2023,2023,yes,no,Tremelimumab (TRADENAME) in combination with durvalumab is indicated for the treatment of patients with unresectable hepatocellular carcinoma (uHCC).,Hepatocellular Carcinoma (HCC) IMJUDO in combination with durvalumab is indicated for the treatment of patients with unresectable hepatocellular carcinoma (uHCC) who have not received prior systemic therapy.,Neoplasms; Diseases of the digestive system,22.04.2022,2022,no,NA
swisspar_uplizna_na_nas.pdf,69322,Not reported,Uplizna,inebilizumab,Horizon Therapeutics,Biologics,concentrate for solution for infusion,intravenous,approved,authorised (under additional monitoring),04.03.2024,2024,yes,no,Uplizna is indicated as monotherapy for the treatment of adult patients with neuromyelitis optica spectrum disorders (NMOSD) who are anti-aquaporin-4 immunoglobulin G (AQP4-IgG) seropositive,Uplizna is indicated as monotherapy for the treatment of adult patients with neuromyelitis optica spectrum disorders (NMOSD) who are anti-aquaporin-4 immunoglobulin G (AQP4-IgG) seropositive,Diseases of the nervous system,02.06.2023,2023,yes,EMA
swisspar_livmarli.pdf,69201,Not reported,Livmarli,maralixibat chloride,Mirum Pharmaceuticals AG,Small molecule,oral solution,oral,approved,authorised (under additional monitoring),18.07.2024,2024,yes,no,treatment of cholestatic pruritus in patients with Alagille syndrome (ALGS) 3 months of age and older,treatment of cholestatic pruritus in patients with Alagille syndrome (ALGS) 3 months of age and older,Diseases of the liver; Diseases of the skin,21.04.2023,2023,yes,FDA
swisspar_tepkinly_na_nas.pdf,69161,Not reported,Tepkinly,epcoritamab,AbbVie AG,Biologics,concentrate for solution for injection,subcutaneous,temporary authorisation,authorised (under additional monitoring),15.02.2024,2024,yes,no,"Treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) after 2 or more lines of systemic therapy, where patient is unable to receive, or has previously received, CAR-T cell therapy.","Monotherapy for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL), after 2 or more lines of systemic therapy, including a CD20 antibody, where patient is unable to receive, or has previously received, anti-CD19-targeted CAR-T cell therapy.",Neoplasms; Diseases of the blood and blood-forming organs,06.07.2023,2023,yes,CHMP
swisspar_ultomiris_final.pdf,67278,Not reported,Ultomiris,ravulizumab,Alexion Pharma GmbH,Biologics,concentrate for a solution for infusion,intravenous,approved,authorised (under additional monitoring),29.08.2023,2023,yes,yes,Neuromyelitis optica spectrum disorder (NMOSD),Neuromyelitis optica spectrum disorder (NMOSD),Diseases of the nervous system,19.10.2022,2022,yes,NA
swisspar_spaverin.pdf,68410,Not reported,Spaverin,drotaverine hydrochloride,Target BioScience AG,Small molecule,tablets,oral,approved,authorised,30.01.2023,2023,no,no,"Smooth muscle spasms in diseases of the hepato-biliary system: cholecystolithiasis, cholangiolithiasis, cholecystitis, pericholecystitis, cholangitis, papillitis. Smooth muscle spasms of the urogenital system: nephrolithiasis, ureterolithiasis, pyelitis, cystitis, tenesmus of urinary bladder. As adjuvant: Smooth muscle spasm of the gastrointestinal system: ventricular and duodenal ulcer, gastritis, spasm of the pylorus or cardia, enteritis, colitis, irritable colon syndrome predominantly with constipation or with abdominal distension. Tension-type headache. Gynaecological disease: dysmenorrhoea.","Symptomatic treatment of gastrointestinal complaints (pain, cramps) in the context of functional disorders of the gastrointestinal tract.",Diseases of the digestive system,08.03.2021,2021,yes,Hungary
swisspar_lumykras_final_mit_fi.pdf,67693,Not reported,Lumykras,sotorasib,Amgen Switzerland AG,Small molecule,film-coated tablets,oral,approved,withdrawn,16.12.2021,2021,yes,no,LUMYKRAS is indicated as monotherapy for the treatment of adult patients with previously treated KRAS G12C-mutated locally advanced or metastatic non-small cell lung cancer (NSCLC).,LUMYKRAS is indicated as monotherapy for the treatment of adult patients with KRAS G12C-mutated locally advanced or metastatic non-squamous non-small cell lung cancer (NSCLC) who have experienced progression after prior treatment with platinum-based chemotherapy and/or anti-PD-1/PD-L1 immunotherapy.,Neoplasms; Diseases of the respiratory system,22.04.2021,2021,no,NA
swisspar_vafseo_final.pdf,68862,Not reported,Vafseo,vadadustat,Voisin Consulting CH Sàrl,Small molecule,film-coated tablet,oral,approved,authorised (under additional monitoring),19.06.2023,2023,no,no,treatment of anaemia associated with chronic kidney disease (CKD) in adults,treatment of symptomatic anaemia associated with chronic kidney disease (CKD) in adults on chronic maintenance dialysis,Diseases of the blood and blood-forming organs; Diseases of the genitourinary system,17.03.2022,2022,no,NA
swisspar_vabysmo_final.pdf,68395,Not reported,VABYSMO,faricimab,Roche Pharma (Schweiz) AG,Biologics,solution for injection,intravitreal,approved,authorised,25.05.2022,2022,no,no,neovascular (wet) age-related macular degeneration (nAMD); diabetic macular oedema (DME),neovascular (wet) age-related macular degeneration (nAMD); diabetic macular oedema (DME),"Diseases of the eye and adnexa; Endocrine, nutritional, and metabolic diseases",22.06.2021,2021,yes,Not reported
swisspar_tezspire_final.pdf,68454,Not reported,TEZSPIRE,tezepelumab,AstraZeneca AG,Biologics,solution for injection in a pre-filled syringe,subcutaneous,approved,authorised (under additional monitoring),13.06.2022,2022,no,no,adjunct to maintenance therapy in adults with severe asthma,in addition to inhaled maintenance therapy in adults with severe asthma with inadequate asthma control and at least one severe exacerbation in the past 12 months despite concomitant treatment with inhaled corticosteroids and long-acting bronchodilators,Diseases of the respiratory system,15.07.2021,2021,no,NA
swisspar_epidyolex_ie-1.pdf,67590,Not reported,Epidyolex,cannabidiol,DRAC AG,Small molecule,oral solution,oral,approved,authorised (under additional monitoring),30.08.2022,2022,no,yes,adjunctive therapy of seizures associated with tuberous sclerosis complex (TSC) for patients 1 year of age and older,adjunctive therapy of tuberous sclerosis complex (TSC) in patients 2 years of age and older,Diseases of the nervous system; Congenital malformations and chromosomal abnormalities,02.09.2021,2021,yes,EMA
swisspar_qarziba.pdf,67463,Not reported,Qarziba,dinutuximab beta,Medius AG,Biologics,concentrate for solution for infusion,intravenous,approved,authorised (under additional monitoring),18.04.2024,2024,yes,no,"Qarziba is indicated for the treatment of high-risk neuroblastoma in patients aged 12 months and above, who have previously received induction chemotherapy and achieved at least a partial response, followed by myeloablative therapy and stem cell transplantation, as well as patients with a history of relapsed or refractory neuroblastoma, with or without residual disease.","Qarziba is used in combination with isotretinoin for the treatment of high-risk neuroblastoma in paediatric patients aged 12 months and above, who have previously received induction chemotherapy and achieved at least a partial response, followed by myeloablative therapy and stem cell transplantation.",Neoplasms; Diseases of the nervous system,11.05.2023,2023,yes,EMA
swisspar_nubeqa_final.pdf,67521,Not reported,NUBEQA,darolutamidum,Bayer (Schweiz) AG,Small molecule,film-coated tablet,oral,approved,authorised,19.06.2020,2020,no,no,"NUBEQA, in combination with androgen deprivation therapy (ADT), is indicated for the treatment of adult patients with non-metastatic, castration-resistant prostate cancer (nmCRPC) who are at high risk of developing metastases (in particular, PSADT ≤10 months).","NUBEQA, in combination with androgen deprivation therapy (ADT), is indicated for the treatment of adult patients with non-metastatic castration-resistant prostate cancer (nmCRPC) who are at high risk of developing metastatic disease (in particular PSADT ≤10 months; see “Clinical efficacy”).",Neoplasms,12.04.2019,2019,no,NA
swisspar_alhemol.pdf,68844,Not reported,Alhemo,concizumab,Novo Nordisk Pharma AG,Biologics,solution for injection,subcutaneous,approved,authorised (under additional monitoring),08.08.2023,2023,yes,no,Routine prophylaxis to prevent or reduce the frequency of bleeding episodes in patients from 12 years with haemophilia B (congenital factor IX [FIX] deficiency) with FIX inhibitors.,Concizumab is indicated for the treatment of adolescent and adult patients (12 years of age or older) with haemophilia B (congenital factor IX [FIX] deficiency) who have FIX inhibitors and require routine prophylaxis to prevent or reduce the frequency of bleeding episodes.,Diseases of the blood and blood-forming organs,26.08.2022,2022,no,NA
swisspar_cibinqo_final.pdf,68174,Not reported,CIBINQO,abrocitinib,Pfizer AG,Small molecule,film-coated tablet,oral,approved,authorised,05.04.2022,2022,no,no,moderate to severe atopic dermatitis in adults and patients 12 years of age and older who are candidates for systemic therapy,treatment of moderate to severe atopic dermatitis in adults when therapy with topical medications does not provide adequate disease control or cannot be used,Diseases of the skin,03.11.2020,2020,yes,Not reported
swisspar_sunosi.pdf,68177,Not reported,Sunosi,solriamfetol,Clinipace AG,Small molecule,film-coated tablets,oral,approved,authorised (under additional monitoring),22.03.2022,2022,no,no,Sunosi is indicated to improve wakefulness and reduce excessive daytime sleepiness in adult patients with narcolepsy or obstructive sleep apnoea (OSA).,Sunosi is indicated to improve wakefulness and reduce excessive daytime sleepiness (EDS) in adult patients with obstructive sleep apnoea (OSA) whose EDS has not been satisfactorily treated by primary OSA therapy. Sunosi is indicated to improve wakefulness and reduce excessive sleepiness in adult patients with narcolepsy.,Diseases of the nervous system; Diseases of the respiratory system,01.09.2020,2020,yes,European Medicines Agency
swisspar_rinvoq_morbus_crohn.pdf,67257,Not reported,Rinvoq,upadacitinib as upadacitinib hemihydrate,AbbVie AG,Small molecule,prolonged-release tablets,oral,approved,authorised,07.06.2024,2024,no,yes,"treatment of adult patients with moderately to severely active Crohn's disease who have responded inadequately to, no longer respond to, or are intolerant of conventional therapy or a biologic, or for whom such therapies are inadvisable.","treatment of adult patients with moderately to severely active Crohn’s disease who have had an inadequate response, lost response, or were intolerant to at least 1 biologic agent, or for whom such a therapy is contraindicated.",Diseases of the digestive system,01.11.2022,2022,yes,NA
swisspar_ngenla.pdf,68265,Not reported,Ngenla,somatrogon,Pfizer AG,Biologics,solution for injection,subcutaneous,approved,authorised,09.09.2022,2022,yes,no,long-term treatment of paediatric patients with growth disturbance due to insufficient secretion of growth hormone,Growth disorders in children and adolescents aged 3 years and above in cases of proven growth hormone deficiency,"Endocrine, nutritional, and metabolic diseases",02.03.2021,2021,no,NA
swisspar_welireg.pdf,68531,Not reported,Welireg,belzutifan,MSD Merck Sharp & Dohme AG,Small molecule,film-coated tablets,oral,temporary authorisation,authorised (under additional monitoring),21.03.2024,2024,yes,no,"Welireg as monotherapy is indicated for the treatment of adult patients with von Hippel-Lindau (VHL) disease who require therapy for VHL-associated renal cell carcinoma (RCC), central nervous system (CNS) haemangioblastomas, or pancreatic neuroendocrine tumours (pNET), not requiring immediate surgery.","Welireg as monotherapy is indicated for the treatment of adult patients with von Hippel-Lindau (VHL) disease who require therapy for VHL-associated renal cell carcinoma (RCC), central nervous system (CNS) haemangioblastomas, or pancreatic neuroendocrine tumours (pNET), not requiring immediate surgery.",Neoplasms; Diseases of the nervous system; Diseases of the digestive system,07.07.2022,2022,yes,MHRA
swisspar_trikafta_ie.pdf,67773,Not reported,Trikafta,"elexacaftor, ivacaftor, tezacaftor",Vertex Pharmaceuticals (CH) GmbH,Small molecule,film-coated tablet,oral,approved,authorised (under additional monitoring),14.09.2021,2021,yes,yes,Trikafta is indicated for the treatment of cystic fibrosis (CF) in patients aged 12 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene,Trikafta is indicated for the treatment of cystic fibrosis (CF) in patients aged 12 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene,"Endocrine, nutritional, and metabolic diseases",29.01.2021,2021,yes,NA
swisspar_bimzelx_final.pdf,68548,Not reported,Bimzelx,bimekizumab,UCB-Pharma SA,Biologics,solution for injection,subcutaneous,approved,authorised (under additional monitoring),27.10.2022,2022,no,no,treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy or phototherapy,treatment of moderate to severe plaque psoriasis in adult patients who are candidates for systemic therapy,Diseases of the skin,16.06.2021,2021,yes,EMA
swisspar_jemperli.pdf,68023,Not reported,Jemperli,dostarlimab,GlaxoSmithKline AG,Biologics,concentrate for solution for infusion,intravenous,approved,authorised (under additional monitoring),22.12.2023,2023,no,yes,Jemperli is indicated in combination with platinum-containing chemotherapy for the treatment of adult patients with primary advanced or recurrent endometrial cancer (EC) with deficient DNA mismatch repair (dMMR) / high microsatellite instability (MSI-H) who are candidates for systemic therapy.,Jemperli is indicated in combination with therapy containing carboplatin and paclitaxel for the treatment of adult patients with primary recurrent or advanced endometrial cancer (EC) with deficient DNA mismatch repair (dMMR) / high microsatellite instability (MSI-H) with a high risk of recurrence.,Neoplasms,20.04.2023,2023,yes,NA
swisspar_ultomiris_ie.pdf,67278,Not reported,Ultomiris,ravulizumab,Alexion Pharma GmbH,Biologics,concentrate for solution for infusion,intravenous,approved,authorised (under additional monitoring),24.08.2021,2021,yes,yes,Ultomiris is used in the treatment of patients with a body weight of 10 kg and over with atypical haemolytic uremic syndrome (aHUS) who are complement inhibitor treatment-naïve or have received eculizumab for at least 3 months and have evidence of response to eculizumab,"Ultomiris is used in the treatment of patients weighing 10 kg and over with atypical haemolytic uraemic syndrome (aHUS) who have not previously been treated with complement inhibitors (complement inhibitor-naïve patients) or have received eculizumab for at least 3 months, with evidence of a response to eculizumab.",Diseases of the blood and blood-forming organs; Diseases of the genitourinary system,02.12.2020,2020,yes,European Medicines Agency EMA
swisspar_vazkepa_final.pdf,68354,Not reported,VAZKEPA,icosapent ethyl,Amarin Switzerland GmbH,Small molecule,soft capsule,oral,approved,authorised (under additional monitoring),22.11.2022,2022,no,no,Vazkepa is used to reduce the risk of cardiovascular events in statin-treated adult patients at high cardiovascular risk with elevated triglyceride levels (≥ 150 mg/dL) as well as: established cardiovascular disease or diabetes and at least one other cardiovascular risk factor.,"Vazkepa is indicated to reduce the risk of cardiovascular events in adult statin-treated patients at high cardiovascular risk with elevated triglycerides (≥ 150 mg/dL [≥ 1.7 mmol/L]) and established cardiovascular disease, or diabetes, and at least one other cardiovascular risk factor.",Diseases of the circulatory system,28.04.2021,2021,yes,EMA CHMP
swisspar_vabysmo_g102701735.pdf,68395,Not reported,Vabysmo,faricimab,Roche Pharma (Schweiz) AG,Biologics,solution for injection,intravitreal,approved,authorised (under additional monitoring),11.07.2024,2024,no,yes,Treatment of macular oedema due to retinal vein occlusion (branch retinal vein occlusion (BRVO) and central retinal vein occlusion (CRVO)).,Treatment of macular oedema secondary to retinal vein occlusion (branch retinal vein occlusion (BRVO) and central retinal vein occlusion (CRVO)).,Diseases of the eye and adnexa,24.08.2023,2023,yes,NA
