Indication_approved,Indication_approved_extracted,,Indication_requested,Indication_requested_extracted,,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,
"treatment of adult patients with moderately to severely active ulcerative colitis who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a biologic treatment, or have medical contraindications to such therapies.",<Ulcerative Colitis>,match,"treatment of adult patients with moderately to severely active ulcerative colitis who have had an inadequate response with, lost response to, or were intolerant to conventional therapy or a biologic treatment or a Janus kinase (JAK) inhibitor, or have medical contraindications to such therapies.",<Ulcerative Colitis>,match ,Eli Lilly (Suisse) SA,Eli Lilly,match
Active immunisation to prevent coronavirus disease 2019 (COVID-19) caused by SARS-CoV-2 in individuals 12 years of age and older.,<Coronavirus Disease 2019>,match,Active immunisation to prevent coronavirus disease 2019 (COVID-19) caused by SARS-CoV-2 in individuals 12 years of age and older.,<Coronavirus Disease 2019>,match ,Moderna Australia Pty Ltd,Moderna,match
Tolvaptan is indicated in adults for the treatment of hyponatremia secondary to the syndrome of inappropriate antidiuretic hormone secretion (SIADH).,<Syndrome of Inappropriate Antidiuretic Hormone Secretion>,match,Tolvaptan is indicated in adults for the treatment of hyponatremia secondary to the syndrome of inappropriate antidiuretic hormone secretion (SIADH).,<Hyponatremia>; <Syndrome of Inappropriate Antidiuretic Hormone Secretion>,match ,Accord Healthcare S.L.U.,Accord,match
treatment of mucopolysaccharidosis type IVA (MPS IVA; Morquio A syndrome),<Mucopolysaccharidoses>,match,treatment of mucopolysaccharidosis type IVA (MPS IVA; Morquio A syndrome),<Mucopolysaccharidoses>,match ,BioMarin Pharmaceutical Australia Pty Ltd,BioMarin,match
,Not Reported,match,Treatment of major depressive disorder,"<Depressive Disorder, Major>",match ,Wyeth Europa Limited,Wyeth,match
Treatment of chronic symptomatic hyperuricaemia in conditions where urate deposition has already occurred (gouty arthritis and/or tophus formation) in adults with gout.,<Gout>,match,"Treatment of chronic hyperuricaemia in conditions where urate deposition has already occurred (including a history, or presence of, tophus and/or gouty arthritis).",<Hyperuricemia>; <Gout>,match ,A Menarini Australia Pty Ltd,Menarini,match
"Treatment of peri- and post-operative pulmonary hypertension in newborn infants, infants and toddlers, children and adolescents, ages 0-17 years in conjunction with heart surgery.",<Pulmonary Hypertension>,match,"Treatment of peri- and post-operative pulmonary hypertension in newborn infants, infants and toddlers, children and adolescents, ages 0-17 years in conjunction with heart surgery.",<Pulmonary Hypertension>,match ,Ikaria Australia Pty Ltd,Ikaria,match
"treatment of adult and paediatric patients 12 years of age and older, with solid tumours that have a neurotrophic tyrosine receptor kinase (NTRK) gene fusion, who have a disease that is locally advanced, metastatic or where surgical resection is likely to result in severe morbidity, and who have not received a prior NTRK inhibitor and who have no satisfactory treatment options; treatment of adult patients with ROS1-positive, advanced non-small cell lung cancer (NSCLC) not previously treated with ROS1 inhibitors.",<Solid Tumors>; <Non-Small Cell Lung Cancer>,match,"treatment of adult and paediatric patients with neurotrophic tyrosine receptor kinase (NTRK) fusion-positive locally advanced or metastatic solid tumours, who have progressed following prior therapies or as initial therapy when there are no acceptable standard therapies; treatment of patients with ROS1-positive, advanced non-small cell lung cancer (NSCLC).",<Solid Tumors>; <Non-Small Cell Lung Carcinoma>,match ,Roche Registration GmbH,Roche,match
"For the prevention of influenza caused by Influenza Virus, Types A and B contained in the vaccine. The vaccine is indicated for use in children 6 months to 2 years of age.",<Influenza>,match,"For the prevention of influenza caused by Influenza Virus, Types A and B contained in the vaccine. The vaccine is indicated for use in adults and children 6 months of age and older.",<Influenza>,match ,Seqirus Pty Ltd,Seqirus,match
Prevention of skeletal related events in patients with bone metastases from solid tumours,<Neoplasm Metastasis>,match,Prevention of skeletal related events in adults with advanced malignancies involving bone,<Neoplasms>,match ,Amgen Australia Pty Ltd,Amgen,match
The treatment of osteoporosis in postmenopausal women,<Osteoporosis>,match,Treatment of osteoporosis in postmenopausal women; Treatment of bone loss associated with hormone ablation in men with prostate cancer,<Osteoporosis>; <Prostatic Neoplasms>,match ,Amgen Australia Pty Ltd,Amgen,match
neovascular (wet) age-related macular degeneration (AMD); visual impairment due to macular oedema secondary to retinal vein occlusion (branch RVO or central RVO); visual impairment due to diabetic macular oedema (DME); visual impairment due to myopic choroidal neovascularisation (myopic CNV),<Macular Degeneration>; <Retinal Vein Occlusion>; <Diabetic Macular Edema>; <Myopia>,match,neovascular (wet) age-related macular degeneration (AMD); visual impairment due to macular oedema secondary to retinal vein occlusion (branch RVO or central RVO); visual impairment due to diabetic macular oedema (DME); visual impairment due to myopic choroidal neovascularisation (myopic CNV),<Macular Degeneration>; <Retinal Vein Occlusion>; <Diabetic Macular Edema>; <Myopia>,match ,Celltrion Healthcare Hungary Kft.,Celltrion,match
,Not Reported,match,treatment of periodic paralysis,<Periodic Paralysis>,match ,Not reported,Not Reported,match
Inoperable chronic thromboembolic pulmonary hypertension (CTEPH) or postoperative persistent or recurrent CTEPH,"<Hypertension, Pulmonary>",match,Inoperable chronic thromboembolic pulmonary hypertension (CTEPH) or postoperative persistent or recurrent CTEPH,"<Hypertension, Pulmonary>",match ,"Bayer Yakuhin, Ltd.",Bayer,match
"antiviral combination treatment of HIV-1 infected adults, adolescents and children of 3 years of age and older",<HIV Infections>,match,"antiviral combination treatment of HIV-1 infected adults, adolescents and children of 3 years of age and older",<Human Immunodeficiency Virus>,match ,Not reported,Not Reported,match
Chronic heart failure (only in patients who are receiving standard treatment for chronic heart failure),<Heart Failure>,match,Chronic heart failure (only in patients who are receiving standard treatment for chronic heart failure),<Heart Failure>,match ,"Bayer Yakuhin, Ltd.",Bayer,match
prophylaxis of migraine in adults who have at least 4 migraine days per month,<Migraine Disorders>,match,prophylaxis of migraine in adults who have at least 4 migraine days per month,<Migraine Disorders>,match ,Novartis Europharm Ltd,Novartis,match
"Add-on combination - Onglyza is indicated in patients with type 2 diabetes mellitus, to improve glycaemic control, in combination with metformin, a sulfonylurea, or a thiazolidinedione, as an adjunct to diet and exercise, when the single agent alone does not provide adequate glycaemic control.",<Type 2 Diabetes Mellitus>,match,"Onglyza is indicated in patients with type 2 diabetes mellitus, to improve glycaemic control, as an adjunct to diet and exercise.",<Type 2 Diabetes Mellitus>,match ,Bristol-Myers Squibb Australia Pty Ltd,Bristol-Myers Squibb,match
treatment of opioid-induced constipation (OIC) in adult patients who have previously been treated with a laxative,<Constipation>,match,treatment of opioid-induced constipation (OIC) in adult patients,<Constipation>,match ,Shionogi B.V.,Shionogi,match
Prevention of acute and delayed nausea and vomiting associated with initial and repeat courses of highly and moderately emetogenic cancer chemotherapy.,<Neoplasms>,match,Prevention of acute and delayed nausea and vomiting associated with initial and repeat courses of highly and moderately emetogenic cancer chemotherapy.,<Neoplasms>,match ,Mundipharma Pty Ltd,Mundipharma,match
treatment of established osteoporosis in postmenopausal women,<Osteoporosis>,match,treatment of established osteoporosis in postmenopausal women,<Osteoporosis>,match ,Eli Lilly and Company,Eli Lilly,match
"treatment of adults with unresectable melanoma that is regionally or distantly metastatic (Stage IIIB, IIIC and IVM1a) with no bone, brain, lung or other visceral disease",<Melanoma>,match,treatment of adults with melanoma that is regionally or distantly metastatic,<Melanoma>,match ,Amgen Europe B.V.,Amgen,match
Cervical dystonia in adults; Blepharospasm in adults; Post-stroke spasticity of the upper limb in adults; Glabellar frown lines in adults,<Cervical Dystonia>; <Blepharospasm>; <Stroke>; <Facial Dermatoses>,match,Cervical dystonia in adults; Blepharospasm in adults; Post-stroke spasticity of the upper limb in adults; Glabellar frown lines in adults,<Cervical Dystonia>; <Blepharospasm>; <Stroke>,match ,Merz Australia Pty Ltd,Merz,match
"Treatment of unresectable, well-differentiated pancreatic neuroendocrine tumours (pancreatic NET)",<Pancreatic Neuroendocrine Tumors>,match,Treatment of unresectable pancreatic neuroendocrine tumours (pNET),<Pancreatic Neuroendocrine Tumors>,match ,Pfizer Australia Pty Ltd,Pfizer,match
Gastrointestinal stromal tumor that has progressed after cancer chemotherapy,<Gastrointestinal Stromal Tumors>,match,Gastrointestinal stromal tumor that has progressed after cancer chemotherapy,<Gastrointestinal Stromal Tumors>,match ,"Taiho Pharmaceutical Co., Ltd.",Taiho,match
Rheumatoid arthritis; Juvenile idiopathic arthritis; Axial spondyloarthritis; Psoriatic arthritis; Psoriasis; Paediatric plaque psoriasis; Hidradenitis suppurativa; Crohn’s disease; Paediatric Crohn's disease; Ulcerative colitis; Uveitis,"<Rheumatoid Arthritis>; <Arthritis, Juvenile>; <Spondylarthropathies>; <Arthritis, Psoriatic>; <Psoriasis>; <Hidradenitis Suppurativa>; <Crohn Disease>; <Ulcerative Colitis>; <Uveitis>",match,Rheumatoid arthritis; Juvenile idiopathic arthritis; Axial spondyloarthritis; Psoriatic arthritis; Psoriasis; Paediatric plaque psoriasis; Hidradenitis suppurativa; Crohn’s disease; Paediatric Crohn's disease; Ulcerative colitis; Uveitis,"<Rheumatoid Arthritis>; <Arthritis, Juvenile>; <Spondylarthropathies>; <Arthritis, Psoriatic>; <Psoriasis>; <Hidradenitis Suppurativa>; <Crohn Disease>; <Ulcerative Colitis>; <Uveitis>",match ,Boehringer Ingelheim International GmbH,Boehringer Ingelheim,match
Chronic Hepatitis C genotype 1 or 4 infection in adults,<Chronic Hepatitis C>,match,Chronic Hepatitis C infection in adults,<Chronic Hepatitis C>,match ,Merck Sharp and Dohme (Australia) Pty Limited,Merck Sharp and Dohme,match
For the treatment of castration-resistant prostate cancer patients with symptomatic bone metastases and no known visceral metastatic disease.,<Prostatic Neoplasms>,match,For the treatment of castration-resistant prostate cancer patients with bone metastases.,<Prostatic Neoplasms>,match ,Bayer Australia Ltd,Bayer,match
"Treatment of invasive candidiasis, treatment of oesophageal candidiasis, prophylaxis of Candida infection in patients undergoing allogeneic haematopoietic stem cell transplantation or expected to have neutropenia for 10 or more days.",<Invasive Candidiasis>; <Esophageal Candidiasis>; <Candida Infections>,match,"Treatment of invasive candidiasis, treatment of oesophageal candidiasis, prophylaxis of Candida infection in patients undergoing allogeneic haematopoietic stem cell transplantation or expected to have neutropenia for 10 or more days.",<Invasive Candidiasis>; <Esophageal Candidiasis>; <Candida Infections>,match ,Astellas Pharma Australia Pty Ltd,Astellas,match
Treatment of adult and paediatric patients with confirmed diagnosis of hereditary tyrosinemia type 1 (HT-1) in combination with dietary restriction of tyrosine and phenylalanine.,<Hereditary Tyrosinemia Type 1>,match,Treatment of adult and paediatric (in any age range) patients with confirmed diagnosis of hereditary tyrosinemia type 1 (HT-1) in combination with dietary restriction of tyrosine and phenylalanine.,<Hereditary Tyrosinemias>,match ,Cycle Pharmaceuticals Ltd,Cycle,match
Infantile hemangioma,<Infantile Hemangioma>,match,Infantile hemangioma,<Infantile Hemangioma>,match ,"Maruho Co., Ltd.",Maruho,match
Not reported,Not Reported,match,Not reported,Not Reported,match ,AEA Technology,AEA,match
treatment of cystic fibrosis (CF) in patients age 6 years and older who have a G551D mutation in the CFTR gene,<Cystic Fibrosis>,match,treatment of cystic fibrosis (CF) in patients age 6 years and older who have a gating mutation in the CFTR gene,<Cystic Fibrosis>,match ,Vertex Pharmaceuticals (U.K.) Ltd.,Vertex,match
Alopecia areata (limited to intractable cases involving extensive hair loss),<Alopecia Areata>,match,Alopecia areata (limited to intractable cases involving extensive hair loss),<Alopecia Areata>,match ,Pfizer Japan Inc.,Pfizer,match
Lazcluze in combination with amivantamab is indicated for the first-line treatment of adult patients with advanced non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 L858R substitution mutations.,<Non-Small Cell Lung Cancer>,match,Lazcluze in combination with amivantamab is indicated for the first-line treatment of adult patients with advanced non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 L858R substitution mutations.,<Non-Small Cell Lung Carcinoma>,match ,Janssen Cilag International,Janssen,match
Tecartus is indicated for the treatment of adult patients with relapsed or refractory B-cell precursor acute lymphoblastic leukaemia (ALL) after 2 or more systemic therapies.,<B-Cell Precursor Acute Lymphoblastic Leukemia>,match,Tecartus is indicated for the treatment of adult patients with relapsed or refractory B-cell precursor acute lymphoblastic leukaemia (ALL).,<B-Cell Precursor Acute Lymphoblastic Leukemia>,match ,Gilead Sciences Switzerland Sàrl,Gilead,match
,Not Reported,match,treatment of adults with geographic atrophy (GA) secondary to age-related macular degeneration (AMD),<Geographic Atrophy>; <Macular Degeneration>,match ,Not reported,Not Reported,match
Treatment of women undergoing superovulation prior to assisted reproductive techniques such as in vitro fertilisation (IVF); Anovulatory or oligo-ovulatory women,<Anovulation>,match,Treatment of women undergoing superovulation prior to assisted reproductive techniques such as in vitro fertilisation (IVF); Anovulatory or oligo-ovulatory women,<Anovulation>,match ,Not reported,Not Reported,match
"Allergic rhinitis, urticaria, and pruritus associated with skin disorders (eczema/dermatitis, prurigo, cutaneous pruritus)",<Allergic Rhinitis>; <Urticaria>; <Pruritus>; <Eczema>; <Dermatitis>; <Prurigo>; <Cutaneous Pruritus>,match,"Allergic rhinitis, urticaria, and pruritus associated with skin disorders (eczema/dermatitis, prurigo, cutaneous pruritus)",<Allergic Rhinitis>; <Urticaria>; <Eczema>; <Dermatitis>; <Prurigo>; <Pruritus>,match ,Mitsubishi Tanabe Pharma Corporation,Mitsubishi Tanabe,match
Treatment of anaemia associated with chronic renal failure in adults and paediatric subjects ≥ 11 years of age; Treatment of anaemia in adult cancer patients with solid tumours (non-haematological malignancies) receiving chemotherapy,<Anaemia>; <Chronic Renal Insufficiency>; <Neoplasms>,match,Treatment of anaemia associated with chronic renal failure in adults and paediatric subjects ≥ 11 years of age; Treatment of anaemia in adult cancer patients with solid tumours (non-haematological malignancies) receiving chemotherapy,<Anemia>; <Chronic Kidney Failure>; <Neoplasms>,match ,Amgen Europe B.V.,Amgen,match
Recurrent or refractory primary central nervous system lymphoma; Waldenström’s macroglobulinemia and lymphoplasmacytic lymphoma,<Central Nervous System Neoplasms>; <Waldenstrom Macroglobulinemia>; <Lymphoma>,match,Recurrent or refractory primary central nervous system lymphoma; Waldenström’s macroglobulinemia and lymphoplasmacytic lymphoma,"<Central Nervous System Neoplasms>; <Waldenstrom Macroglobulinemia>; <Lymphoma, Lymphoplasmacytic>",match ,"Ono Pharmaceutical Co., Ltd.",Ono,match
"Monotherapy for the maintenance treatment of adult patients with platinum sensitive relapsed high grade epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in response to platinum-based chemotherapy.",<Ovarian Neoplasms>; <Fallopian Tube Neoplasms>; <Peritoneal Neoplasms>,match,"Monotherapy for the maintenance treatment of adult patients with platinum sensitive relapsed high grade epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in response to platinum-based chemotherapy.",<Ovarian Neoplasms>; <Fallopian Tube Neoplasms>; <Peritoneal Neoplasms>,match ,AstraZeneca Pty Ltd,AstraZeneca,match
"treatment of adult chronic immune (idiopathic) thrombocytopenic purpura (ITP) splenectomised patients who are refractory to other treatments (e.g. corticosteroids, immunoglobulins). Revolade may be considered as second line treatment for adult non-splenectomised patients where surgery is contraindicated","<Thrombocytopenic Purpura, Idiopathic>",match,treatment of previously treated patients with chronic idiopathic thrombocytopenic purpura (ITP) to increase platelet counts and reduce or prevent bleeding,"<Thrombocytopenic Purpura, Idiopathic>",match ,GlaxoSmithKline Trading Services Ltd.,GlaxoSmithKline,match
"VANFLYTA is indicated in combination with standard cytarabine and anthracycline induction and standard cytarabine consolidation chemotherapy, and as continuation monotherapy following consolidation, for the treatment of adult patients with newly diagnosed acute myeloid leukaemia (AML) that is FMS-like tyrosine kinase 3 internal tandem duplication (FLT3-ITD) positive.","<Leukemia, Myeloid, Acute>",match,"VANFLYTA is indicated in combination with standard cytarabine and anthracycline induction and standard cytarabine consolidation chemotherapy, and as continuation monotherapy following consolidation, for the treatment of adult patients with newly diagnosed acute myeloid leukaemia (AML) that is FMS-like tyrosine kinase 3 internal tandem duplication (FLT3-ITD) positive.","<Leukemia, Myeloid, Acute>",match ,Daiichi Sankyo Europe GmbH,Daiichi Sankyo,match
"Replacement therapy in Primary immunodeficiency syndromes; Myeloma or chronic lymphocytic leukaemia with severe secondary hypogammaglobulinemia and recurrent infections; Children with congenital AIDS and recurrent infections; Immunomodulation in Idiopathic thrombocytopenic purpura, Guillain Barré syndrome, Kawasaki disease; Allogeneic bone marrow transplantation","<Immunologic Deficiency Syndromes>; <Multiple Myeloma>; <Leukemia, Lymphocytic, Chronic, B-Cell>; <Acquired Immunodeficiency Syndrome>; <Purpura, Thrombocytopenic, Idiopathic>; <Guillain-Barré Syndrome>; <Mucocutaneous Lymph Node Syndrome>",match,"Replacement therapy in Primary immunodeficiency syndromes; Myeloma or chronic lymphocytic leukaemia with severe secondary hypogammaglobulinemia and recurrent infections; Children with congenital AIDS and recurrent infections; Immunomodulation in Idiopathic thrombocytopenic purpura, Guillain Barré syndrome, Kawasaki disease; Allogeneic bone marrow transplantation","<Immunologic Deficiency Syndromes>; <Multiple Myeloma>; <Leukemia, Lymphocytic, Chronic, B-Cell>; <Acquired Immunodeficiency Syndrome>; <Purpura, Thrombocytopenic, Idiopathic>; <Guillain-Barré Syndrome>; <Mucocutaneous Lymph Node Syndrome>",match ,Baxter,Baxter,match
Treatment of unresectable advanced or recurrent gastric cancer that has progressed after cancer chemotherapy,<Gastric Cancer>,match,Treatment of unresectable advanced or recurrent gastric cancer,<Gastric Cancer>,match ,"Ono Pharmaceutical Co., Ltd.",Ono,match
"treatment of adult patients with unresectable or metastatic triple-negative breast cancer (mTNBC) who have received two or more prior systemic therapies, including at least one of them for advanced disease",<Breast Neoplasms>,match,"treatment of adult patients with unresectable locally advanced or metastatic triple-negative breast cancer (mTNBC) who have received at least two prior therapies, including at least one prior therapy for locally advanced or metastatic disease",<Breast Neoplasms>,match ,Gilead Sciences Ireland UC,Gilead,match
Prevention of atherothrombotic events in adults,<Arteriosclerosis>,match,Prevention of atherothrombotic events in adults,<Atherosclerosis>,no_match,"Krka, d.d., Novo mesto",Krka,match
"induction of remission and consolidation in adult patients with relapsed/refractory acute promyelocytic leukaemia (APL), characterised by the presence of the t(15;17) translocation and/or the presence of the Pro-Myelocytic Leukaemia/Retinoic-Acid-Receptor-alpha (PML/RAR-alpha) gene","<Leukemia, Promyelocytic, Acute>",match,"treatment of relapsed acute promyelocytic leukemia in adult patients, characterised by the presence of the t(15;17) translocation and/or the presence of the PML/RAR-α gene","<Leukemia, Promyelocytic, Acute>",match ,Voisin Consulting S.A.R.L.,Voisin,match
first line treatment of metastatic breast cancer in women,<Breast Neoplasms>,match,first line treatment of metastatic breast cancer in women,<Breast Neoplasms>,match ,Not reported,Not Reported,match
Prophylaxis of CMV disease in adult and paediatric solid organ transplantation (SOT) patients who are at risk.,<CMV Infections>,match,Prophylaxis of CMV disease in adult and paediatric solid organ transplantation (SOT) patients who are at risk.,<CMV Infections>,match ,Roche Products Pty Ltd,Roche,match
FGF23-related hypophosphatemic rickets/osteomalacia,<Hypophosphatemic Rickets>; <Osteomalacia>,match,FGF23-related hypophosphatemic rickets/osteomalacia,<Hypophosphatemic Rickets>; <Osteomalacia>,match ,"Kyowa Kirin Co., Ltd.",Kyowa Kirin,match
treatment of essential hypertension and treatment of renal disease in patients with hypertension and type 2 diabetes mellitus as part of an antihypertensive drug regimen,"<Hypertension>; <Renal Disease>; <Diabetes Mellitus, Type 2>",match,treatment of essential hypertension and treatment of renal disease in patients with hypertension and type 2 diabetes mellitus as part of an antihypertensive drug regimen,"<Hypertension>; <Renal Disease>; <Diabetes Mellitus, Type 2>",match ,Pharmathen S.A.,Pharmathen,match
maintenance treatment in adult patients with acromegaly who have responded to and tolerated treatment with somatostatin analogues,<Acromegaly>,match,long-term maintenance treatment in patients with acromegaly who have responded to and tolerated treatment with somatostatin analogues,<Acromegaly>,match ,Amryt Pharmaceuticals DAC,Amryt,match
Bronchial asthma (only for patients with refractory asthma whose symptoms cannot be controlled by conventional treatment),<Bronchial Asthma>,match,Bronchial asthma (severe eosinophilic asthma with exacerbation despite conventional treatment),<Bronchial Asthma>,match ,GlaxoSmithKline K.K.,GlaxoSmithKline,match
Treatment of adult Still’s disease that have not adequately responded to existing therapies,"<Still's Disease, Adult-Onset>",match,adult Still’s disease that have not adequately responded to existing therapies,"<Still's Disease, Adult-Onset>",match ,"Chugai Pharmaceutical Co., Ltd.",Chugai,match
As a booster dose for active immunisation to prevent coronavirus disease 2019 (COVID-19) caused by SARS-CoV-2 in individuals 12 years of age and older who have previously received at least a primary vaccination course against COVID-19.,<Coronavirus Infections>,match,As a booster dose for active immunisation to prevent coronavirus disease 2019 (COVID-19) caused by SARS-CoV-2 in individuals 6 years of age and older who have previously received at least a primary vaccination course against COVID-19.,<Coronavirus Disease 2019>,match ,Moderna Australia Pty Ltd,Moderna,match
,Not Reported,match,Community-acquired bacterial pneumonia (CABP); Acute bacterial skin and skin structure infections (ABSSSI),"<Community-Acquired Infections>; <Skin Diseases, Bacterial>",match ,Not reported,Not Reported,match
pain associated with osteoarthritis,<Osteoarthritis>,match,pain associated with osteoarthritis,<Osteoarthritis>,match ,"Shionogi & Co., Ltd.",Shionogi,match
HER2-positive inoperable or recurrent breast cancer,<Breast Neoplasms>,match,HER2-positive inoperable or recurrent breast cancer,<Breast Neoplasms>,match ,"Chugai Pharmaceutical Co., Ltd.",Chugai,match
"maintenance therapy in adult patients with acute myeloid leukemia (AML) who achieved complete remission (CR) or complete remission with incomplete blood count recovery (CRi) following induction therapy with or without consolidation treatment and who are not candidates for, including those who choose not to proceed to, hematopoietic stem cell transplantation (HSCT).","<Leukemia, Myeloid, Acute>",match,"maintenance therapy in adult patients with acute myeloid leukemia (AML) who achieved complete remission (CR) or complete remission with incomplete blood count recovery (CRi) following induction therapy with or without consolidation treatment and who are not candidates for, including those who choose not to proceed to, hematopoietic stem cell transplantation (HSCT).","<Leukemia, Myeloid, Acute>",match ,Bristol-Myers Squibb Pharma EEIG,Bristol-Myers Squibb,match
Treatment of diabetes mellitus in adults.,<Diabetes Mellitus>,match,Treatment of diabetes mellitus in adults.,<Diabetes Mellitus>,match ,Novo Nordisk Pharma AG,Novo Nordisk,match
"treatment of adult patients with anaplastic lymphoma kinase (ALK)-positive, locally advanced or metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to crizotinib",<Non-Small Cell Lung Carcinoma>,match,"treatment of adult patients with anaplastic lymphoma kinase (ALK)-positive, locally advanced or metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to crizotinib",<Non-Small Cell Lung Carcinoma>,match ,Roche Registration Limited,Roche,match
