Document_name,Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body
photobarr-epar-scientific-discussion_en.pdf,Not reported,Not reported,PhotoBarr,porfimer sodium,Not reported,Biologics,powder for solution for injection,intravenous,approved,withdrawn,Not reported,Not reported,no,yes,Ablation of high-grade dysplasia (HGD) in patients with Barrett's Oesophagus,Ablation of high-grade dysplasia (HGD) in patients with Barrett's Oesophagus,Neoplasms; Diseases of the digestive system,Not reported,Not reported,no,NA
resolor-epar-public-assessment-report_en.pdf,EMA/664892/2009,EMEA/H/C/1012,Resolor,Prucalopride,Movetis NV,Small molecule,film-coated tablet,oral,approved,authorised,23.07.2009,2009,no,no,treatment of chronic constipation in adults in whom laxatives fail to provide adequate relief,symptomatic treatment of chronic constipation in women in whom laxatives fail to provide adequate relief,Diseases of the digestive system,08.05.2008,2008,no,NA
deltyba-epar-public-assessment-report_en.pdf,EMA/55567/2014,EMEA/H/C/002552,Deltyba,delamanid,Otsuka Novel Products GmbH,Small molecule,film-coated tablet,oral,conditional marketing authorisation,authorised,21.11.2013,2013,yes,no,Delamanid is indicated for the treatment of multidrug-resistant tuberculosis (MDR-TB) in combination with an optimised background regimen (OBR) according to WHO guidelines in adult patients.,treatment of pulmonary infections due to multidrug-resistant Mycobacterium tuberculosis as part of an appropriate combination regimen,Infectious and parasitic diseases,25.11.2011,2011,no,NA
aripiprazole-accord-epar-public-assessment-report_en.pdf,EMA/523618/2015,EMEA/H/C/004021/0000,Aripiprazole Accord,aripiprazole,Accord Healthcare Ltd,Small molecule,tablet,oral,approved,authorised,24.09.2015,2015,no,no,Treatment of schizophrenia in adults and adolescents aged 15 years and older; treatment of moderate to severe manic episodes in Bipolar I Disorder and prevention of new manic episodes in adults; treatment up to 12 weeks of moderate to severe manic episodes in Bipolar I Disorder in adolescents aged 13 years and older.,Treatment of schizophrenia in adults and adolescents aged 15 years and older; treatment of moderate to severe manic episodes in Bipolar I Disorder and prevention of new manic episodes in adults; treatment up to 12 weeks of moderate to severe manic episodes in Bipolar I Disorder in adolescents aged 13 years and older.,Mental and behavioural disorders,01.08.2014,2014,yes,Not reported
biograstim-epar-public-assessment-report_en.pdf,EMA/494720/2008,EMEA/H/C/826,Biograstim,filgrastim,CT Arzneimittel GmbH,Biologics,solution for injection,subcutaneous; intravenous,approved,withdrawn,24.07.2008,2008,no,no,Reduction in the duration of neutropenia and the incidence of febrile neutropenia in patients treated with established cytotoxic chemotherapy for malignancy and for the reduction in the duration of neutropenia in patients undergoing myeloablative therapy followed by bone marrow transplantation.,Reduction in the duration of neutropenia and the incidence of febrile neutropenia in patients treated with established cytotoxic chemotherapy for malignancy and for the reduction in the duration of neutropenia in patients undergoing myeloablative therapy followed by bone marrow transplantation.,Neoplasms; Diseases of the blood and blood-forming organs,29.01.2007,2007,no,NA
incellipan-epar-public-assessment-report_en.pdf,EMA/108199/2024,EMEA/H/C/006051/0000,Incellipan,"Pandemic influenza vaccine (H5N1) (surface antigen, inactivated, adjuvanted, prepared in cell cultures)",Seqirus Netherlands B.V.,Vaccine,suspension for injection,intramuscular,approved,authorised,22.02.2024,2024,no,no,Prophylaxis of influenza in an officially declared pandemic situation in persons 6 months and above.,Prophylaxis of influenza in an officially declared pandemic situation in persons 6 months and above.,Infectious and parasitic diseases,24.11.2022,2022,no,NA
nevirapine-teva-epar-public-assessment-report_en.pdf,Not reported,EMEA/H/C/001119,Nevirapine Teva,nevirapine,Teva Pharma B.V.,Small molecule,tablet,oral,approved,withdrawn,24.09.2009,2009,no,no,"treatment of HIV-1 infected adults, adolescents, and children of any age in combination with other anti-retroviral medicinal products","treatment of HIV-1 infected adults, adolescents, and children of any age in combination with other anti-retroviral medicinal products",Infectious and parasitic diseases,07.01.2009,2009,yes,Not reported
contusugene-ladenovec-gendux-withdrawal-assessment-report_en.pdf,Not reported,EMEA/H/C/1041,Contusugene Ladenovec Gendux,Contusugene Ladenovec,Gendux Molecular Ltd,Cell and gene therapy,Sterile suspension for injection,Intratumoural,withdrawn,withdrawn,Not reported,Not reported,Not reported,no,Treatment of adult patients with recurrent or refractory squamous cell carcinoma of the head and neck as monotherapy,NA,Neoplasms,Not reported,Not reported,no,NA
ogivri-epar-public-assessment-report_en.pdf,EMA/810499/2018,EMEA/H/C/004916/0000,Ogivri,trastuzumab,MYLAN S.A.S,Biologics,powder for concentrate for solution for infusion,intravenous,approved,authorised,18.10.2018,2018,no,no,Breast cancer; Metastatic breast cancer; Early breast cancer; Metastatic gastric cancer,Breast cancer; Metastatic breast cancer; Early breast cancer; Metastatic gastric cancer,Neoplasms; Diseases of the digestive system,03.11.2017,2017,no,NA
axitinib-accord-epar-public-assessment-report_en.pdf,EMA/372021/2024,EMEA/H/C/006206/0000,Axitinib Accord,axitinib,Accord Healthcare S.L.U.,Small molecule,film-coated tablet,oral,approved,authorised,25.07.2024,2024,no,no,Treatment of adult patients with advanced renal cell carcinoma (RCC) after failure of prior treatment with sunitinib or a cytokine.,Treatment of adult patients with advanced renal cell carcinoma (RCC) after failure of prior treatment with sunitinib or a cytokine.,Neoplasms; Diseases of the genitourinary system,06.03.2023,2023,yes,NA
faldaprevir-boehringer-ingelheim-withdrawal-assessment-report_en.pdf,EMA/519229/2014,EMEA/H/C/03720,Faldaprevir,Faldaprevir,Boehringer Ingelheim,Small molecule,soft gelatin capsule,oral,withdrawn,withdrawn,20.03.2014,2014,no,no,"treatment of chronic genotype-1 hepatitis C virus (HCV) infection in adult patients with compensated liver disease including cirrhosis, and patients with human immunodeficiency virus (HIV)/HCV co-infection",NA,Infectious and parasitic diseases,Not reported,Not reported,no,NA
lumark-epar-public-assessment-report_en.pdf,EMA/427491/2015,EMEA/H/C/002749/0000,Lumark,"lutetium, isotope of mass 177",I.D.B. Radiopharmacy B.V.,Other,"Radiopharmaceutical precursor, solution",Not applicable,approved,authorised,23.04.2015,2015,no,no,To be used only for the radiolabelling of carrier molecules which have been specifically developed for radiolabelling with this radionuclide,NA,Neoplasms,05.12.2013,2013,yes,Not reported
xarelto-epar-public-assessment-report_en.pdf,Not reported,EMEA/H/C/000944,Xarelto,rivaroxaban,Bayer HealthCare AG,Small molecule,film-coated tablet,oral,approved,authorised,30.09.2008,2008,no,no,Prevention of venous thromboembolism (VTE) in patients undergoing major orthopaedic surgery of the lower limbs.,Prevention of venous thromboembolism (VTE) in adult patients undergoing elective hip or knee replacement surgery.,Diseases of the circulatory system,31.10.2007,2007,no,NA
doxorubicin-sun-withdrawal-assessment-report_en.pdf,EMA/588790/2011,EMEA/H/C/002049,Doxorubicin SUN,Doxorubicin,Not reported,Biologics,Concentrate for solution for infusion,Intravenous,refused,NA,Not reported,Not reported,no,no,"Metastatic breast cancer, advanced ovarian cancer, progressive multiple myeloma",NA,Neoplasms; Diseases of the blood and blood-forming organs,Not reported,Not reported,yes,Not reported
benlysta-epar-public-assessment-report_en.pdf,EMA/002015/2011,EMEA/H/C/002015,Benlysta,belimumab,Glaxo Group Limited,Biologics,Powder for concentrate for solution for infusion,Intravenous,approved,authorised,19.05.2011,2011,no,no,"treatment of active, autoantibody-positive systemic lupus erythematosus (SLE)",Add-on therapy in adult patients with active autoantibody-positive systemic lupus erythematosus (SLE) with a high degree of disease activity despite standard therapy,Diseases of the musculoskeletal system and connective tissue,04.06.2010,2010,no,NA
budesonideformoterol-teva-pharma-bv-epar-public-assessment-report_en.pdf-0.pdf,EMA/83618/2020,EMEA/H/C/004882/0000,Budesonide/Formoterol Teva Pharma B.V.,budesonide / formoterol fumarate dihydrate,Teva Pharma B.V.,Small molecule,inhalation powder,oral,approved,authorised,30.01.2020,2020,no,no,Regular treatment of asthma and symptomatic treatment of COPD,Regular treatment of asthma and symptomatic treatment of COPD,Diseases of the respiratory system,30.07.2019,2019,yes,NA
cresemba-epar-public-assessment-report_en.pdf,EMA/596950/2015,EMEA/H/C/002734/0000,Cresemba,isavuconazole,Basilea Medical Ltd,Small molecule,powder for concentrate for solution for infusion; hard capsules,intravenous; oral,approved,authorised,23.07.2015,2015,yes,no,treatment of invasive aspergillosis; treatment of mucormycosis,treatment of invasive aspergillosis; mucormycosis in patients for whom amphotericin B is inappropriate,Infectious and parasitic diseases,16.07.2014,2014,no,NA
heplisav-b-epar-public-assessment-report_en.pdf,EMA/1767/2021,EMEA/H/C/005063/0000,Heplisav B,"Hepatitis B vaccine (recombinant, adjuvanted)",Dynavax GmbH,Vaccine,solution for injection,intramuscular,approved,authorised,10.12.2020,2020,no,no,prevention of infection caused by all known subtypes of hepatitis B virus in adults 18 years of age and older,prevention of infection caused by all known subtypes of hepatitis B virus in adults 18 years of age and older,Infectious and parasitic diseases,11.03.2019,2019,no,NA
pregabalin-accord-epar-public-assessment-report_en.pdf,EMA/CHMP/282380/2015,EMEA/H/C/004024/0000,Pregabalin Accord,pregabalin,Accord Healthcare Limited,Small molecule,hard capsules,oral,approved,authorised,25.06.2015,2015,no,no,adjunctive therapy in adults with partial seizures with or without secondary generalisation; treatment of Generalised Anxiety Disorder (GAD) in adults,adjunctive therapy in adults with partial seizures with or without secondary generalisation; treatment of Generalised Anxiety Disorder (GAD) in adults,Diseases of the nervous system; Mental and behavioural disorders,31.07.2014,2014,yes,NA
zercepac-epar-public-assessment-report_en.pdf,EMA/327248/2020,EMEA/H/C/005209/0000,Zercepac,trastuzumab,Accord Healthcare S.L.U.,Biologics,powder for concentrate for solution for infusion,intravenous,approved,authorised,28.05.2020,2020,no,no,"Treatment of adult patients with HER2-positive metastatic breast cancer (MBC), early breast cancer (EBC), and metastatic adenocarcinoma of the stomach or gastroesophageal junction.","Treatment of adult patients with HER2-positive metastatic breast cancer (MBC), early breast cancer (EBC), and metastatic adenocarcinoma of the stomach or gastroesophageal junction.",Neoplasms; Diseases of the digestive system,29.05.2019,2019,no,NA
modigraf-epar-public-assessment-report_en.pdf,EMA/306253/2009,EMEA/H/C/000954,Modigraf,tacrolimus,Astellas Pharma Europe B.V.,Biologics,granules for oral suspension,oral,approved,authorised,15.05.2009,2009,no,no,"prophylaxis of transplant rejection (liver, kidney and heart) and treatment of allograft rejection","prophylaxis of transplant rejection in adult and paediatric, kidney, liver or heart allograft recipients. Treatment of allograft rejection resistant to treatment with other immunosuppressive medicinal products in adult and paediatric patients",Diseases of the genitourinary system; Diseases of the digestive system; Diseases of the circulatory system,27.11.2007,2007,yes,Not reported
isentress-epar-scientific-discussion_en.pdf,EMA/000574/2008,EMEA/H/C/000860,ISENTRESS,raltegravir,Merck Sharp & Dohme Ltd,Small molecule,film-coated tablet,oral,conditional marketing authorisation,authorised,09.07.2007,2007,no,no,ISENTRESS is indicated in combination with other anti-retroviral agents for the treatment of human immunodeficiency virus (HIV-1) infection in treatment-experienced patients with evidence of HIV-1 replication despite ongoing antiretroviral therapy.,ISENTRESS is indicated in combination with other anti-retroviral medicinal products for the treatment of human immunodeficiency virus (HIV-1) infection in treatment-experienced adult patients with evidence of HIV-1 replication despite ongoing anti-retroviral therapy.,Infectious and parasitic diseases,Not reported,Not reported,no,NA
tigecycline-accord-epar-public-assessment-report_en.pdf,EMA/140293/2020,EMEA/H/C/005114/0000,Tigecycline Accord,tigecycline,Accord Healthcare S.L.U.,Small molecule,powder for solution for infusion,intravenous,approved,authorised,27.02.2020,2020,no,no,"Complicated skin and soft tissue infections (cSSTI), excluding diabetic foot infections; Complicated intra-abdominal infections (cIAI)","Complicated skin and soft tissue infections (cSSTI), excluding diabetic foot infections; Complicated intra-abdominal infections (cIAI)",Infectious and parasitic diseases,30.07.2018,2018,yes,Not reported
withdrawal-assessment-report-upstelda_en.pdf,EMA/250302/2024,EMEA/H/C/006415/0000,Upstelda,Ustekinumab,Amgen Technology Ireland Unlimited Company,Biologics,solution for injection,subcutaneous,approved,authorised,22.02.2024,2024,no,no,Moderate to severe plaque psoriasis in adult patients and paediatric patients 6 years of age and older; Active psoriatic arthritis in adults; Moderately to severely active Crohn’s disease,Moderate to severe plaque psoriasis in adult patients and paediatric patients 6 years of age and older; Active psoriatic arthritis in adults; Moderately to severely active Crohn’s disease,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue; Diseases of the digestive system,Not reported,Not reported,yes,Not reported
silodosin-recordati-epar-public-assessment-report_en.pdf,Not reported,EMEA/H/C/004964/0000,Silodosin Recordati,silodosin,Recordati Ireland Ltd,Small molecule,"capsule, hard",oral,approved,authorised,15.11.2018,2018,no,no,Treatment of the signs and symptoms of benign prostatic hyperplasia (BPH) in adult men.,Treatment of the signs and symptoms of benign prostatic hyperplasia (BPH) in adult men.,Diseases of the genitourinary system,10.04.2018,2018,yes,Not reported
skysona-epar-public-assessment-report_en.pdf,EMA/332184/2021,EMEA/H/C/003690/0000,Skysona,elivaldogene autotemcel,bluebird bio (Netherlands) B.V,Cell and gene therapy,dispersion for infusion,intravenous,approved,withdrawn,20.05.2021,2021,yes,no,treatment of patients less than 18 years of age with an ABCD1 genetic mutation and early cerebral adrenoleukodystrophy for whom a human leukocyte antigen (HLA)-matched sibling haematopoietic stem cell (HSC) donor is not available,treatment of patients less than 18 years of age with an ABCD1 genetic mutation and early cerebral adrenoleukodystrophy for whom a human leukocyte antigen (HLA)-matched sibling haematopoietic stem cell (HSC) donor is not available,"Endocrine, nutritional, and metabolic diseases; Diseases of the nervous system",10.09.2020,2020,no,NA
zydelig-epar-public-assessment-report_en.pdf,EMA/324336/2014,EMEA/H/C/003843/0000,Zydelig,idelalisib,Gilead Sciences International Ltd,Small molecule,Film-coated tablet,Oral,approved,authorised,24.07.2014,2014,no,no,"Idelalisib is indicated, alone or in combination, for the treatment of patients with relapsed chronic lymphocytic leukaemia (CLL) and for the treatment of patients with refractory indolent non-Hodgkin lymphoma(iNHL).","Zydelig is indicated in combination with rituximab for the treatment of adult patients with chronic lymphocytic leukaemia (CLL): who have received at least one prior therapy, or as first line treatment in the presence of 17p deletion or TP53 mutation in patients unsuitable for chemo-immunotherapy. Zydelig is indicated as monotherapy for the treatment of adult patients with follicular lymphoma (FL) that is refractory to two prior lines of treatment.",Neoplasms; Diseases of the blood and blood-forming organs,28.10.2013,2013,no,NA
methylthioninium-chloride-proveblue-epar-public-assessment-report_en.pdf,EMA/002108/2011,EMEA/H/C/002108,Methylthioninium chloride Proveblue,methylthioninium chloride,Provepharm S.A.S.,Small molecule,solution for injection,intravenous,approved,authorised,06.05.2011,2011,no,yes,Treatment of medicinal and chemical products-induced methaemoglobinaemia,Acute symptomatic treatment of medicinal and chemical products-induced methaemoglobinaemia,Diseases of the blood and blood-forming organs,30.12.2009,2009,yes,CHMP
opdivo-epar-public-assessment-report_en.pdf,EMA/CHMP/76688/2015,EMEA/H/C/003985/0000,OPDIVO,nivolumab,Bristol-Myers Squibb Pharma EEIG,Biologics,Concentrate for solution for infusion,Intravenous,approved,authorised,23.04.2015,2015,no,no,treatment of advanced (unresectable or metastatic) melanoma in adults,treatment of advanced (unresectable or metastatic) melanoma in adults,Neoplasms; Diseases of the skin,02.09.2014,2014,no,NA
leqvio-epar-public-assessment-report_en.pdf,EMA/696912/2020,EMEA/H/C/005333/0000,Leqvio,inclisiran,Novartis Europharm Limited,Small molecule,Solution for injection,Subcutaneous,approved,authorised,15.10.2020,2020,no,no,Hypercholesterolaemia and mixed dyslipidaemia,treatment for primary hypercholesterolaemia or mixed dyslipidaemia,"Endocrine, nutritional, and metabolic diseases; Diseases of the circulatory system",09.01.2020,2020,no,NA
nexavar-epar-scientific-discussion_en.pdf,EMA/000228/2006,EMEA/H/C/000690,Nexavar,sorafenib,Bayer Pharma AG,Small molecule,film-coated tablet,oral,approved,authorised,19.07.2006,2006,no,no,treatment of patients with advanced renal cell carcinoma who have failed prior interferon-alpha or interleukin-2 based therapy or are considered unsuitable for such therapy,treatment of patients with advanced renal cell carcinoma who have failed prior interferon-alpha or interleukin-2 based therapy or are considered unsuitable for such therapy,Neoplasms; Diseases of the genitourinary system,Not reported,Not reported,no,NA
inhixa-epar-public-assessment-report_en.pdf,EMA/536977/2016,EMEA/H/C/004264/0000,Inhixa,Enoxaparin sodium,Techdow Europe AB,Biologics,Solution for injection,"Intraarterial use, Intravenous use, Subcutaneous use",approved,authorised (under additional monitoring),21.07.2016,2016,no,no,"Prophylaxis of venous thromboembolism, Treatment of deep vein thrombosis, Treatment of unstable angina and non-Q-wave myocardial infarction, Treatment of acute ST-segment elevation myocardial infarction, Blood clot prevention in the extracorporeal circulation during haemodialysis","Prophylaxis of venous thromboembolism, Treatment of deep vein thrombosis, Treatment of unstable angina and non-Q-wave myocardial infarction, Treatment of acute ST-segment elevation myocardial infarction, Blood clot prevention in the extracorporeal circulation during haemodialysis",Diseases of the circulatory system,27.05.2015,2015,yes,CHMP
ultibro-breezhaler-epar-public-assessment-report_en.pdf,EMA/CHMP/296722/2013,EMEA/H/C/002679/0000,Ultibro Breezhaler,Indacaterol/glycopyrronium bromide,Novartis Europharm Ltd,Small molecule,"Inhalation powder, hard capsule",Inhalation,approved,authorised,25.07.2013,2013,no,no,Once-daily maintenance bronchodilator treatment to relieve symptoms and reduce exacerbations in adult patients with chronic obstructive pulmonary disease (COPD).,Maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (COPD).,Diseases of the respiratory system,04.10.2012,2012,no,NA
extavia-epar-public-assessment-report_en.pdf,Not reported,EMEA/H/C/933,Extavia,Interferon beta-1b,Novartis Europharm Limited,Biologics,Powder and solvent for solution for injection,Not reported,approved,withdrawn,19.03.2008,2008,no,yes,"Treatment of patients with a single demyelinating event with an active inflammatory process, relapsing-remitting multiple sclerosis, and secondary progressive multiple sclerosis with active disease.","Treatment of patients with a single demyelinating event with an active inflammatory process, relapsing-remitting multiple sclerosis, and secondary progressive multiple sclerosis with active disease.",Diseases of the nervous system,04.10.2007,2007,yes,Not reported
ivabradine-zentiva-epar-public-assessment-report_en.pdf,EMA/73167/2017,EMEA/H/C/004117/0000,Ivabradine Zentiva,ivabradine,"Zentiva, k.s.",Small molecule,film-coated tablet,oral,approved,authorised,15.09.2016,2016,no,no,Symptomatic treatment of chronic stable angina pectoris; Treatment of chronic heart failure,Symptomatic treatment of chronic stable angina pectoris; Treatment of chronic heart failure,Diseases of the circulatory system,04.11.2015,2015,yes,NA
oslif-breezhaler-epar-public-assessment-report_en.pdf,EMA/814964/2009,EMEA/H/C/001210,Oslif Breezhaler,indacaterol,Novartis Europharm Ltd.,Small molecule,inhalation powder,inhalation,approved,authorised,24.09.2009,2009,no,no,maintenance bronchodilator treatment of airflow obstruction in adult patients with chronic obstructive pulmonary disease (COPD),maintenance bronchodilator treatment of airflow obstruction in adult patients with chronic obstructive pulmonary disease (COPD),Diseases of the respiratory system,24.07.2009,2009,no,NA
tafinlar-epar-public-assessment-report_en.pdf,EMA/CHMP/242419/2013,EMEA/H/C/002604/0000,Tafinlar,Dabrafenib,GlaxoSmithKline Trading Services Limited,Small molecule,"Capsule, hard",Oral,approved,authorised,27.06.2013,2013,no,no,Dabrafenib is indicated for the treatment of adult patients with unresectable or metastatic melanoma with a BRAF V600 mutation.,Dabrafenib is indicated in monotherapy for the treatment of adult patients with unresectable or metastatic melanoma with a BRAF V600 mutation.,Neoplasms; Diseases of the skin,24.07.2012,2012,no,NA
factive-withdrawal-assessment-report_en.pdf,Not reported,EMEA/H/C/995,Factive,Gemifloxacin,Menarini International Operations Luxembourg,Small molecule,tablet,oral,withdrawn,withdrawn,19.03.2009,2009,no,no,"Community acquired pneumonia, of mild to moderate severity; Acute Exacerbation of chronic bronchitis; Acute bacterial sinusitis",NA,Infectious and parasitic diseases; Diseases of the respiratory system,Not reported,Not reported,no,NA
duoresp-spiromax-epar-public-assessment-report_en.pdf,Not reported,EMEA/H/C/002348,DuoResp Spiromax,Budesonide / formoterol,Teva Pharma B.V.,Small molecule,Inhalation powder,Inhalation,approved,authorised,20.02.2014,2014,no,no,Asthma; COPD,Asthma; COPD,Diseases of the respiratory system,29.01.2013,2013,yes,Not reported
tritanrix-hepb-epar-scientific-discussion_en.pdf,Not reported,Not reported,Tritanrix HepB,Not reported,GlaxoSmithKline (GSK) Biologicals S.A.,Vaccine,solution for injection,intramuscular,approved,authorised,13.03.1996,1996,no,no,"active immunisation against diphtheria, tetanus, pertussis and hepatitis B in infants from 6 weeks of age onwards","active immunisation against diphtheria, tetanus, pertussis and hepatitis B in infants from 6 weeks of age onwards",Infectious and parasitic diseases,Not reported,Not reported,no,NA
relvar-ellipta-epar-public-assessment-report_en.pdf,EMA/282960/2013,EMEA/H/C/002673/0000,Relvar Ellipta,fluticasone furoate / vilanterol,Glaxo Group Ltd,Small molecule,"Inhalation powder, pre-dispensed",Inhalation,approved,authorised,19.09.2013,2013,no,no,Asthma in adults and adolescents aged 12 years and older; symptomatic treatment of adults with COPD,Asthma in adults and adolescents aged 12 years and older; symptomatic treatment of adults with COPD,Diseases of the respiratory system,26.06.2012,2012,no,NA
cabazitaxel-accord-epar-public-assessment-report_en.pdf,EMA/267872/2020,EMEA/H/C/005178/0000,Cabazitaxel Accord,cabazitaxel,Accord Healthcare S.L.U.,Small molecule,Concentrate for solution for infusion,Intravenous,approved,authorised,30.04.2020,2020,no,no,Treatment of adult patients with metastatic castration resistant prostate cancer previously treated with a docetaxel-containing regimen.,Treatment of adult patients with metastatic castration resistant prostate cancer previously treated with a docetaxel-containing regimen.,Neoplasms,25.03.2019,2019,yes,Not reported
